Variable,Beta,SE_Robust,z,P_value,CI_Lower,CI_Upper,OR,OR_CI_Lower,OR_CI_Upper
Intercept,0.4183,0.1131,3.697,0.0002,0.1966,0.6401,1.5194,1.2172,1.8966
Mode (Assisted vs Unaided),0.4071,0.1015,4.011,0.0001,0.2082,0.6060,1.5025,1.2314,1.8332
